ID,op_status,total_funding_usd,funding_rounds,first_funding_date,last_funding_date,num_investors,funding_duration,first_funding_utc,last_funding_utc,successful_investment
119,operating,75000000,1,19-12-2011,19-12-2011,1,0,15327,15327,0
120,operating,,1,27-01-2015,27-01-2015,3,0,16462,16462,0
121,closed,57500000,2,16-06-2000,15-11-2001,8,517,11124,11641,0
122,operating,1200000,1,22-03-2012,22-03-2012,1,0,15421,15421,0
123,operating,52792,1,01-05-2013,01-05-2013,1,0,15826,15826,0
124,operating,24790172,10,08-02-2006,07-10-2015,11,3528,13187,16715,0
125,closed,,1,04-12-2011,04-12-2011,1,0,15312,15312,0
126,operating,,1,07-07-2006,07-07-2006,1,0,13336,13336,0
127,operating,3090000,3,22-05-2013,29-12-2014,3,586,15847,16433,0
128,operating,837000,2,01-04-2013,12-01-2015,3,651,15796,16447,0
129,operating,20000,1,01-06-2011,01-06-2011,2,0,15126,15126,0
130,operating,20000,1,01-01-2012,01-01-2012,1,0,15340,15340,0
131,operating,20000,1,19-07-2014,19-07-2014,1,0,16270,16270,0
132,operating,1500000,1,05-01-2015,05-01-2015,13,0,16440,16440,0
133,operating,40613,1,06-06-2012,06-06-2012,1,0,15497,15497,0
134,operating,2000000,1,12-11-2014,12-11-2014,8,0,16386,16386,0
135,operating,,1,07-09-2015,07-09-2015,1,0,16685,16685,0
136,operating,1300000,1,22-01-2014,22-01-2014,2,0,16092,16092,0
137,operating,2115100,3,08-08-2009,14-10-2010,5,432,14464,14896,0
138,operating,20673981,3,01-03-2010,01-09-2011,2,549,14669,15218,0
139,operating,1675000,3,01-01-2013,05-12-2014,9,703,15706,16409,0
140,operating,,1,31-03-2011,31-03-2011,1,0,15064,15064,0
141,operating,,1,01-02-2010,01-02-2010,1,0,14641,14641,0
142,operating,150000,1,01-01-2014,01-01-2014,3,0,16071,16071,0
143,operating,11200000,1,23-10-2014,23-10-2014,1,0,16366,16366,0
144,operating,230000,2,18-07-2012,11-04-2013,1,267,15539,15806,0
145,operating,5564999,3,26-11-2012,04-06-2014,1,555,15670,16225,0
146,operating,,1,01-01-2000,01-01-2000,1,0,10957,10957,0
147,operating,250000,1,01-02-2015,01-02-2015,1,0,16467,16467,0
148,operating,,1,24-07-2014,24-07-2014,3,0,16275,16275,0
149,operating,1500000,2,06-07-2014,19-03-2015,2,256,16257,16513,0
150,acquired,25000000,4,01-10-2005,04-02-2010,7,1587,13057,14644,1
151,operating,16000000,2,22-08-2012,07-04-2015,4,958,15574,16532,0
152,operating,2424402,1,08-04-2014,08-04-2014,1,0,16168,16168,0
153,acquired,15000000,1,07-08-2003,07-08-2003,6,0,12271,12271,1
154,operating,1929900,1,14-01-2014,14-01-2014,1,0,16084,16084,0
155,acquired,15000000,2,30-09-2003,01-03-2006,4,883,12325,13208,1
156,operating,28000000,1,11-04-2007,11-04-2007,2,0,13614,13614,0
157,operating,153654,1,13-06-2011,13-06-2011,1,0,15138,15138,0
158,operating,,1,01-01-2013,01-01-2013,1,0,15706,15706,0
159,closed,525000,2,01-08-2012,08-09-2012,1,38,15553,15591,0
160,operating,620000,2,08-04-2013,25-09-2014,1,535,15803,16338,0
161,operating,716950,1,26-07-2013,26-07-2013,1,0,15912,15912,0
162,closed,,1,01-05-2008,01-05-2008,1,0,14000,14000,0
163,operating,10000000,2,01-12-2011,15-06-2012,8,197,15309,15506,0
164,operating,,1,06-06-2007,06-06-2007,1,0,13670,13670,0
165,operating,31800000,3,16-06-2003,08-08-2005,11,784,12219,13003,0
166,acquired,5280000,1,21-07-2005,21-07-2005,3,0,12985,12985,1
167,acquired,20000000,2,02-06-2005,14-06-2007,8,742,12936,13678,1
168,operating,1100000,1,08-04-2015,08-04-2015,2,0,16533,16533,0
169,operating,81837,1,08-08-2011,08-08-2011,1,0,15194,15194,0
170,operating,8000000,1,22-10-2015,22-10-2015,3,0,16730,16730,0
171,operating,,1,01-09-2015,01-09-2015,2,0,16679,16679,0
172,operating,150000,1,01-05-2012,01-05-2012,1,0,15461,15461,0
173,operating,4500000,4,02-09-2008,27-06-2012,4,1394,14124,15518,0
174,operating,,1,01-01-2008,01-01-2008,1,0,13879,13879,0
175,acquired,,1,10-03-2008,10-03-2008,1,0,13948,13948,1
176,operating,3540000,3,01-01-2013,01-01-2014,5,365,15706,16071,0
177,operating,,1,28-01-2014,28-01-2014,1,0,16098,16098,0
178,operating,150000,1,07-09-2013,07-09-2013,1,0,15955,15955,0
179,operating,375000,1,01-02-2015,01-02-2015,3,0,16467,16467,0
180,operating,2250000,1,20-08-2014,20-08-2014,7,0,16302,16302,0
181,operating,38979,1,11-12-2012,11-12-2012,1,0,15685,15685,0
182,operating,30500000,1,10-12-2001,10-12-2001,1,0,11666,11666,0
183,operating,23514640,4,24-03-2008,13-11-2015,1,2790,13962,16752,0
184,operating,26864003.67,1,09-11-2015,09-11-2015,1,0,16748,16748,0
185,operating,250000,1,01-01-2010,01-01-2010,1,0,14610,14610,0
186,operating,30800000,3,24-01-2012,09-07-2015,8,1262,15363,16625,0
187,operating,25000,1,01-07-2015,01-07-2015,1,0,16617,16617,0
188,operating,110179.887,1,26-10-2015,26-10-2015,1,0,16734,16734,0
189,operating,447037,1,06-02-2014,06-02-2014,1,0,16107,16107,0
190,operating,23000000,3,16-09-2012,01-10-2015,15,1110,15599,16709,0
191,closed,38000903,5,04-02-2011,03-05-2013,6,819,15009,15828,0
192,operating,21000000,2,02-09-2010,14-08-2012,8,712,14854,15566,0
193,operating,56777627,10,01-08-2005,16-10-2015,22,3728,12996,16724,0
194,operating,70000,1,30-03-2011,30-03-2011,3,0,15063,15063,0
195,operating,1511971,2,19-01-2012,28-03-2015,3,1164,15358,16522,0
196,closed,10000000,1,05-02-2008,05-02-2008,1,0,13914,13914,0
197,closed,20000000,1,28-10-2008,28-10-2008,1,0,14180,14180,0
198,operating,,2,01-01-2002,01-03-2005,2,1155,11688,12843,0
199,operating,14000000,3,06-06-2012,15-03-2014,11,647,15497,16144,0
200,operating,30000,1,09-11-2013,09-11-2013,1,0,16018,16018,0
201,operating,50000,1,01-09-2012,01-09-2012,1,0,15584,15584,0
202,acquired,2000000,3,07-12-2011,30-01-2014,10,785,15315,16100,1
203,operating,15113623,2,16-09-2014,29-01-2015,8,135,16329,16464,0
204,ipo,28765834,3,01-01-1996,01-01-2014,3,6575,9496,16071,1
205,operating,,1,17-11-2015,17-11-2015,1,0,16756,16756,0
206,closed,5100000,2,30-05-2012,14-08-2013,19,441,15490,15931,0
207,operating,316000000,4,02-02-2010,22-04-2014,4,1540,14642,16182,0
208,closed,25000,1,05-11-2011,05-11-2011,1,0,15283,15283,0
209,operating,250000,1,13-01-2013,13-01-2013,1,0,15718,15718,0
210,closed,53491,1,01-11-2013,01-11-2013,1,0,16010,16010,0
211,operating,1814010,2,29-07-2014,15-06-2015,1,321,16280,16601,0
212,operating,2400000,2,10-08-2012,14-05-2013,1,277,15562,15839,0
213,operating,94311,1,01-05-2014,01-05-2014,1,0,16191,16191,0
214,operating,90000,1,01-10-2012,01-10-2012,1,0,15614,15614,0
215,operating,5000000,2,01-04-2012,06-05-2015,3,1130,15431,16561,0
216,operating,40000,1,01-06-2014,01-06-2014,1,0,16222,16222,0
217,operating,9980000,1,01-09-2005,01-09-2005,1,0,13027,13027,0
218,operating,,1,22-07-2014,22-07-2014,1,0,16273,16273,0
219,closed,60800000,3,20-03-2005,09-06-2009,9,1542,12862,14404,0
220,closed,3164252.71,2,23-01-2008,10-02-2010,4,749,13901,14650,0
221,operating,,1,10-04-2014,10-04-2014,1,0,16170,16170,0
222,operating,750000,2,01-12-2013,01-06-2015,1,547,16040,16587,0
223,operating,5000000,1,05-01-2012,05-01-2012,1,0,15344,15344,0
224,operating,728375,3,01-10-2013,01-12-2014,3,426,15979,16405,0
225,operating,40000,1,13-12-2013,13-12-2013,1,0,16052,16052,0
226,closed,500000,1,22-06-2012,22-06-2012,1,0,15513,15513,0
227,operating,,1,01-02-2014,01-02-2014,1,0,16102,16102,0
228,acquired,28000000,3,01-03-2005,25-01-2010,4,1791,12843,14634,1
229,operating,9000000,1,20-02-2012,20-02-2012,2,0,15390,15390,0
230,operating,,1,01-05-2005,01-05-2005,1,0,12904,12904,0
231,operating,,1,01-01-2000,01-01-2000,1,0,10957,10957,0
232,operating,10000000,3,01-06-2013,26-09-2014,3,482,15857,16339,0
233,operating,22000000,3,30-03-2011,24-06-2014,7,1182,15063,16245,0
234,operating,7265271,3,06-12-2006,02-05-2011,4,1608,13488,15096,0
235,operating,525000,2,15-10-2013,27-05-2015,2,589,15993,16582,0
236,operating,9000000,2,13-10-2011,21-09-2015,2,1439,15260,16699,0
237,operating,,1,08-02-2008,08-02-2008,1,0,13917,13917,0
238,operating,8750000,3,23-04-2014,14-05-2015,1,386,16183,16569,0
239,operating,1800000,1,29-01-2015,29-01-2015,1,0,16464,16464,0
240,operating,,2,09-02-2012,11-02-2015,3,1098,15379,16477,0
241,acquired,127620230,7,01-01-2001,07-12-2009,13,3262,11323,14585,1
242,operating,20000000,1,16-01-2001,16-01-2001,4,0,11338,11338,0
243,operating,6570000,3,18-11-2009,03-02-2015,2,1903,14566,16469,0
244,operating,1000000,1,15-04-2013,15-04-2013,5,0,15810,15810,0
245,operating,42000000,3,02-02-2009,11-09-2013,9,1682,14277,15959,0
246,operating,,1,28-07-2014,28-07-2014,1,0,16279,16279,0
247,operating,77594.35023,1,21-08-2015,21-08-2015,6,0,16668,16668,0
248,operating,161000,1,25-02-2015,25-02-2015,1,0,16491,16491,0
249,operating,3000000,1,14-09-2015,14-09-2015,3,0,16692,16692,0
250,operating,62895,1,02-09-2012,02-09-2012,1,0,15585,15585,0
251,operating,3393925,2,20-02-2008,26-05-2010,2,826,13929,14755,0
252,operating,1000000,2,03-03-2012,27-08-2013,2,542,15402,15944,0
253,acquired,34000000,2,01-08-2004,27-11-2006,4,848,12631,13479,1
254,operating,,1,24-06-2015,24-06-2015,1,0,16610,16610,0
255,operating,1100000,1,03-02-2014,03-02-2014,2,0,16104,16104,0
256,operating,250000,1,01-02-2009,01-02-2009,1,0,14276,14276,0
257,operating,8494150,3,01-04-2012,05-05-2015,7,1129,15431,16560,0
258,operating,750000,1,01-04-2005,01-04-2005,1,0,12874,12874,0
259,operating,62046,1,11-12-2014,11-12-2014,1,0,16415,16415,0
260,operating,225000,2,01-09-2012,05-12-2013,1,460,15584,16044,0
261,operating,32495730,4,01-03-2005,19-08-2014,9,3458,12843,16301,0
262,operating,38856,1,31-05-2012,31-05-2012,1,0,15491,15491,0
263,operating,2020000,3,22-04-2009,01-05-2014,5,1835,14356,16191,0
264,operating,5000000,1,01-01-2006,01-01-2006,1,0,13149,13149,0
265,operating,552500,3,01-06-2012,01-11-2012,3,153,15492,15645,0
266,operating,124794,3,13-02-2014,04-12-2014,3,294,16114,16408,0
267,acquired,95000000,3,01-08-1999,23-07-2001,5,722,10804,11526,1
268,operating,72000000,1,21-08-2013,21-08-2013,2,0,15938,15938,0
269,operating,38745,1,08-10-2011,08-10-2011,1,0,15255,15255,0
270,operating,450000,3,29-11-2013,11-06-2015,4,559,16038,16597,0
271,operating,1600000,1,01-01-2010,01-01-2010,2,0,14610,14610,0
272,acquired,55200000,4,05-10-2005,30-09-2011,11,2186,13061,15247,1
273,operating,,8,26-07-2011,10-04-2015,1,1354,15181,16535,0
274,operating,12500,1,01-12-2014,01-12-2014,1,0,16405,16405,0
275,operating,2000000,1,10-12-2014,10-12-2014,2,0,16414,16414,0
276,acquired,78812455,3,15-12-2009,09-03-2011,5,449,14593,15042,1
277,closed,4000000,1,02-06-2003,02-06-2003,4,0,12205,12205,0
278,operating,1118000,2,01-04-2014,04-06-2015,2,429,16161,16590,0
279,closed,4000000,1,15-07-2004,15-07-2004,1,0,12614,12614,0
280,operating,11500000,1,15-11-2005,15-11-2005,4,0,13102,13102,0
281,operating,,1,01-11-2012,01-11-2012,1,0,15645,15645,0
282,acquired,14000000,4,28-02-2005,18-06-2008,7,1206,12842,14048,1
283,acquired,14500000,2,10-07-2008,01-09-2008,3,53,14070,14123,1
284,operating,1058197,2,10-12-2012,09-05-2014,3,515,15684,16199,0
285,operating,2000000,1,27-07-2015,27-07-2015,1,0,16643,16643,0
286,operating,41000000,1,06-05-2015,06-05-2015,4,0,16561,16561,0
287,operating,118248563,8,18-10-2007,21-01-2015,26,2652,13804,16456,0
288,operating,2400000,1,01-07-2014,01-07-2014,4,0,16252,16252,0
289,operating,1250000,1,23-01-2013,23-01-2013,4,0,15728,15728,0
290,closed,589007.6406,1,07-09-2015,07-09-2015,1,0,16685,16685,0
291,operating,68312,1,30-06-2014,30-06-2014,1,0,16251,16251,0
292,operating,123500000,5,07-03-2012,31-03-2015,11,1119,15406,16525,0
293,operating,10000000,1,20-03-2006,20-03-2006,3,0,13227,13227,0
294,operating,1621171,1,01-11-2008,01-11-2008,2,0,14184,14184,0
295,acquired,9079060,1,16-03-2010,16-03-2010,1,0,14684,14684,1
296,operating,,1,17-01-2012,17-01-2012,1,0,15356,15356,0
297,operating,,1,15-12-2014,15-12-2014,1,0,16419,16419,0
298,acquired,7380000,1,05-04-2007,05-04-2007,4,0,13608,13608,1
299,closed,,1,10-10-2003,10-10-2003,1,0,12335,12335,0
300,operating,26148000,1,28-12-2011,28-12-2011,1,0,15336,15336,0
301,operating,4460000,6,01-01-2012,01-04-2014,16,821,15340,16161,0
302,operating,5000000,1,01-01-2012,01-01-2012,2,0,15340,15340,0
303,operating,370000,2,19-06-2013,01-01-2014,2,196,15875,16071,0
304,operating,,1,03-02-2014,03-02-2014,1,0,16104,16104,0
305,acquired,,1,20-07-2010,20-07-2010,1,0,14810,14810,1
306,operating,500000,6,01-12-2009,01-09-2013,10,1370,14579,15949,0
307,acquired,,1,09-08-1991,09-08-1991,1,0,7890,7890,1
308,operating,,1,01-07-2007,01-07-2007,2,0,13695,13695,0
309,operating,,1,01-02-2013,01-02-2013,1,0,15737,15737,0
310,operating,7164000,4,01-05-2011,29-05-2015,21,1489,15095,16584,0
311,operating,,2,06-02-2014,01-07-2014,5,145,16107,16252,0
312,acquired,1500000,1,28-01-2013,28-01-2013,4,0,15733,15733,1
313,operating,,1,19-01-2013,19-01-2013,1,0,15724,15724,0
314,operating,1280000,2,27-03-2015,27-03-2015,2,0,16521,16521,0
315,operating,,1,07-08-2012,07-08-2012,1,0,15559,15559,0
316,operating,1400000,1,01-07-2015,01-07-2015,4,0,16617,16617,0
317,operating,118400035,8,16-06-2010,19-08-2015,26,1890,14776,16666,0
318,operating,,1,05-06-2014,05-06-2014,1,0,16226,16226,0
319,closed,1170000,1,19-02-2005,19-02-2005,2,0,12833,12833,0
320,operating,,1,29-08-2013,29-08-2013,1,0,15946,15946,0
321,operating,750000,1,28-03-2015,28-03-2015,1,0,16522,16522,0
322,closed,11000000,1,17-05-2007,17-05-2007,3,0,13650,13650,0
323,operating,2092949,8,01-03-2012,19-11-2015,5,1358,15400,16758,0
324,acquired,64000000,2,23-08-2011,10-04-2014,8,961,15209,16170,1
325,operating,,1,01-08-2014,01-08-2014,1,0,16283,16283,0
326,closed,12645126,6,31-10-2006,14-10-2010,6,1444,13452,14896,0
327,operating,,1,01-01-2014,01-01-2014,1,0,16071,16071,0
328,operating,6000000,1,30-09-2014,30-09-2014,1,0,16343,16343,0
329,acquired,670000,1,11-08-2011,11-08-2011,1,0,15197,15197,1
330,operating,23410864,4,07-09-2010,22-07-2015,9,1779,14859,16638,0
331,acquired,6499999,3,01-10-2008,30-03-2011,4,910,14153,15063,1
332,operating,142837,1,05-02-2015,05-02-2015,1,0,16471,16471,0
333,operating,2250000,1,17-11-2015,17-11-2015,1,0,16756,16756,0
334,operating,1648560,2,01-02-2009,01-08-2010,2,546,14276,14822,0
335,operating,8850000,2,14-10-2010,07-07-2012,1,632,14896,15528,0
336,closed,75000,1,01-06-2011,01-06-2011,2,0,15126,15126,0
337,operating,4500000,2,15-03-2014,15-02-2015,2,337,16144,16481,0
338,operating,,1,29-09-2014,29-09-2014,1,0,16342,16342,0
339,operating,,1,01-01-2000,01-01-2000,1,0,10957,10957,0
340,operating,2620000,3,01-10-2013,30-05-2015,21,606,15979,16585,0
341,operating,6500000,2,18-02-2015,18-02-2015,3,0,16484,16484,0
342,operating,30000,1,15-10-2011,15-10-2011,1,0,15262,15262,0
343,operating,1640000,2,01-10-2014,01-02-2015,2,123,16344,16467,0
344,operating,1948937,1,30-09-2014,30-09-2014,1,0,16343,16343,0
345,acquired,22800000,3,01-02-2007,04-04-2011,4,1523,13545,15068,1
346,operating,1809056,1,11-12-2014,11-12-2014,1,0,16415,16415,0
347,operating,,1,09-03-2015,09-03-2015,1,0,16503,16503,0
348,ipo,85000000,1,02-03-2015,02-03-2015,1,0,16496,16496,1
349,operating,200000,1,15-01-2011,15-01-2011,1,0,14989,14989,0
350,operating,9200000,2,29-04-2014,03-12-2015,7,583,16189,16772,0
351,operating,700000,1,10-03-2005,10-03-2005,1,0,12852,12852,0
352,operating,15200000,1,20-05-2004,20-05-2004,4,0,12558,12558,0
353,operating,,1,22-10-2013,22-10-2013,1,0,16000,16000,0
354,operating,1175000,3,16-07-2014,02-09-2015,1,413,16267,16680,0
355,operating,,1,01-05-2014,01-05-2014,1,0,16191,16191,0
356,operating,1250000,1,17-06-2013,17-06-2013,2,0,15873,15873,0
357,operating,105769230,1,29-06-2011,29-06-2011,1,0,15154,15154,0
358,closed,6000000,1,24-05-2007,24-05-2007,2,0,13657,13657,0
359,closed,1400000,1,01-09-2012,01-09-2012,1,0,15584,15584,0
360,operating,29833,1,01-03-2010,01-03-2010,1,0,14669,14669,0
361,operating,19000000,3,01-05-2012,22-11-2015,7,1300,15461,16761,0
362,operating,25000,3,25-10-2012,07-05-2015,3,924,15638,16562,0
363,operating,,2,01-04-2012,01-09-2014,2,883,15431,16314,0
364,operating,1737170,1,16-09-2004,16-09-2004,1,0,12677,12677,0
365,operating,471938,4,09-01-2013,30-09-2013,2,264,15714,15978,0
366,closed,21189,1,05-09-2011,05-09-2011,1,0,15222,15222,0
367,operating,,2,15-01-2014,13-01-2015,2,363,16085,16448,0
368,operating,100000,1,01-08-2014,01-08-2014,1,0,16283,16283,0
369,operating,5480028,4,29-03-2011,14-10-2015,3,1660,15062,16722,0
370,operating,1190000,1,20-10-2009,20-10-2009,1,0,14537,14537,0
371,closed,49000000,1,17-04-2003,17-04-2003,2,0,12159,12159,0
372,operating,100000,1,07-05-2013,07-05-2013,1,0,15832,15832,0
373,closed,16950000,4,01-05-2005,17-04-2009,9,1447,12904,14351,0
374,operating,2250000,2,26-01-2012,28-03-2012,3,62,15365,15427,0
375,operating,49000000,1,27-10-2015,27-10-2015,1,0,16735,16735,0
376,operating,3795746,6,11-02-2010,30-11-2012,1,1023,14651,15674,0
377,operating,310500,7,01-08-2013,10-09-2015,1,770,15918,16688,0
378,operating,1067625,1,20-06-2011,20-06-2011,4,0,15145,15145,0
